county,precinct,office,district,party,candidate,votes,election_day,early_voting,provisional
Sarpy,,President/Vice President,,REP,Trump/Pence,45143,28941,15752,450
Sarpy,Precinct 1,President/Vice President,,REP,Trump/Pence,443,313,128,2
Sarpy,Precinct 2,President/Vice President,,REP,Trump/Pence,551,401,142,8
Sarpy,Precinct 3,President/Vice President,,REP,Trump/Pence,776,467,295,14
Sarpy,Precinct 4,President/Vice President,,REP,Trump/Pence,720,487,228,5
Sarpy,Precinct 5,President/Vice President,,REP,Trump/Pence,586,351,231,4
Sarpy,Precinct 6,President/Vice President,,REP,Trump/Pence,658,469,182,7
Sarpy,Precinct 7,President/Vice President,,REP,Trump/Pence,657,438,204,15
Sarpy,Precinct 8,President/Vice President,,REP,Trump/Pence,684,480,196,8
Sarpy,Precinct 9,President/Vice President,,REP,Trump/Pence,660,495,158,7
Sarpy,Precinct 10,President/Vice President,,REP,Trump/Pence,455,359,88,8
Sarpy,Precinct 11,President/Vice President,,REP,Trump/Pence,1000,593,398,9
Sarpy,Precinct 12,President/Vice President,,REP,Trump/Pence,947,642,292,13
Sarpy,Precinct 13,President/Vice President,,REP,Trump/Pence,921,574,337,10
Sarpy,Precinct 16,President/Vice President,,REP,Trump/Pence,765,473,287,5
Sarpy,Precinct 17,President/Vice President,,REP,Trump/Pence,768,518,244,6
Sarpy,Precinct 18,President/Vice President,,REP,Trump/Pence,544,375,166,3
Sarpy,Precinct 19,President/Vice President,,REP,Trump/Pence,1235,558,664,13
Sarpy,Precinct 20,President/Vice President,,REP,Trump/Pence,794,530,261,3
Sarpy,Precinct 21,President/Vice President,,REP,Trump/Pence,1211,648,557,6
Sarpy,Precinct 22,President/Vice President,,REP,Trump/Pence,716,488,219,9
Sarpy,Precinct 23,President/Vice President,,REP,Trump/Pence,1242,685,540,17
Sarpy,Precinct 24,President/Vice President,,REP,Trump/Pence,602,388,209,5
Sarpy,Precinct 25,President/Vice President,,REP,Trump/Pence,560,386,159,15
Sarpy,Precinct 26,President/Vice President,,REP,Trump/Pence,769,489,270,10
Sarpy,Precinct 31,President/Vice President,,REP,Trump/Pence,1397,940,448,9
Sarpy,Precinct 32,President/Vice President,,REP,Trump/Pence,631,435,190,6
Sarpy,Precinct 33,President/Vice President,,REP,Trump/Pence,682,446,228,8
Sarpy,Precinct 34,President/Vice President,,REP,Trump/Pence,806,542,255,9
Sarpy,Precinct 35,President/Vice President,,REP,Trump/Pence,774,552,218,4
Sarpy,Precinct 36,President/Vice President,,REP,Trump/Pence,912,601,306,5
Sarpy,Precinct 37,President/Vice President,,REP,Trump/Pence,1350,793,550,7
Sarpy,Precinct 38,President/Vice President,,REP,Trump/Pence,795,539,246,10
Sarpy,Precinct 39,President/Vice President,,REP,Trump/Pence,942,573,368,1
Sarpy,Precinct 40,President/Vice President,,REP,Trump/Pence,856,567,279,10
Sarpy,Precinct 41,President/Vice President,,REP,Trump/Pence,1077,580,485,12
Sarpy,Precinct 42,President/Vice President,,REP,Trump/Pence,887,506,372,9
Sarpy,Precinct 46,President/Vice President,,REP,Trump/Pence,803,519,282,2
Sarpy,Precinct 47,President/Vice President,,REP,Trump/Pence,490,387,96,7
Sarpy,Precinct 48,President/Vice President,,REP,Trump/Pence,1139,580,550,9
Sarpy,Precinct 49,President/Vice President,,REP,Trump/Pence,972,554,408,10
Sarpy,Precinct 51,President/Vice President,,REP,Trump/Pence,1413,935,467,11
Sarpy,Precinct 52,President/Vice President,,REP,Trump/Pence,1331,811,503,17
Sarpy,Precinct 53,President/Vice President,,REP,Trump/Pence,1001,645,346,10
Sarpy,Precinct 54,President/Vice President,,REP,Trump/Pence,971,574,384,13
Sarpy,Precinct 55,President/Vice President,,REP,Trump/Pence,1250,837,401,12
Sarpy,Precinct 56,President/Vice President,,REP,Trump/Pence,818,571,245,2
Sarpy,Precinct 57,President/Vice President,,REP,Trump/Pence,715,515,193,7
Sarpy,Precinct 58,President/Vice President,,REP,Trump/Pence,769,552,208,9
Sarpy,Precinct 59,President/Vice President,,REP,Trump/Pence,820,578,232,10
Sarpy,Precinct 60,President/Vice President,,REP,Trump/Pence,675,509,161,5
Sarpy,Precinct 61,President/Vice President,,REP,Trump/Pence,1817,1162,633,22
Sarpy,Precinct 62,President/Vice President,,REP,Trump/Pence,783,531,240,12
Sarpy,New/Former Resident 1,President/Vice President,,REP,Trump/Pence,0,0,0,0
Sarpy,New/Former Resident 2,President/Vice President,,REP,Trump/Pence,3,0,3,0
Sarpy,,President/Vice President,,DEM,Clinton/Kaine,28033,14788,12942,303
Sarpy,Precinct 1,President/Vice President,,DEM,Clinton/Kaine,478,311,159,8
Sarpy,Precinct 2,President/Vice President,,DEM,Clinton/Kaine,337,221,112,4
Sarpy,Precinct 3,President/Vice President,,DEM,Clinton/Kaine,578,311,262,5
Sarpy,Precinct 4,President/Vice President,,DEM,Clinton/Kaine,470,289,176,5
Sarpy,Precinct 5,President/Vice President,,DEM,Clinton/Kaine,408,194,209,5
