county,precinct,district,office,party,candidate,votes
Dodge,Fremont - 1A,NA,President,REP,Donald J. Trump,359
Dodge,Fremont - 1B,NA,President,REP,Donald J. Trump,286
Dodge,Fremont - 1C,NA,President,REP,Donald J. Trump,457
Dodge,Fremont - 1D,NA,President,REP,Donald J. Trump,192
Dodge,Fremont - 1E,NA,President,REP,Donald J. Trump,326
Dodge,Fremont - 2A,NA,President,REP,Donald J. Trump,233
Dodge,Fremont - 2B,NA,President,REP,Donald J. Trump,210
Dodge,Fremont - 2C,NA,President,REP,Donald J. Trump,471
Dodge,Fremont - 2D,NA,President,REP,Donald J. Trump,166
Dodge,Fremont - 2E,NA,President,REP,Donald J. Trump,306
Dodge,Fremont - 3A,NA,President,REP,Donald J. Trump,156
Dodge,Fremont - 3B,NA,President,REP,Donald J. Trump,82
Dodge,Fremont - 3C,NA,President,REP,Donald J. Trump,171
Dodge,Fremont - 3D,NA,President,REP,Donald J. Trump,263
Dodge,Fremont - 3E,NA,President,REP,Donald J. Trump,227
Dodge,Fremont - 4A,NA,President,REP,Donald J. Trump,300
Dodge,Fremont - 4B,NA,President,REP,Donald J. Trump,196
Dodge,Fremont - 4C,NA,President,REP,Donald J. Trump,414
Dodge,Fremont - 4D,NA,President,REP,Donald J. Trump,455
Dodge,Fremont - 4E,NA,President,REP,Donald J. Trump,163
Dodge,City of North Bend,NA,President,REP,Donald J. Trump,327
Dodge,City of Scribner,NA,President,REP,Donald J. Trump,299
Dodge,CU/EV,NA,President,REP,Donald J. Trump,171
Dodge,Webster Township,NA,President,REP,Donald J. Trump,298
Dodge,Pebble Township,NA,President,REP,Donald J. Trump,166
Dodge,Platte East,NA,President,REP,Donald J. Trump,149
Dodge,Platte West,NA,President,REP,Donald J. Trump,371
Dodge,Nickerson Township,NA,President,REP,Donald J. Trump,292
Dodge,City of Hooper,NA,President,REP,Donald J. Trump,238
Dodge,HW/LG,NA,President,REP,Donald J. Trump,294
Dodge,Elkhorn Township,NA,President,REP,Donald J. Trump,124
Dodge,CT/UN,NA,President,REP,Donald J. Trump,360
Dodge,New/Former Resident,NA,President,REP,Donald J. Trump,0
Dodge,ABSENTEE,NA,President,REP,Donald J. Trump,1411
Dodge,TOTALS,NA,President,REP,Donald J. Trump,9933
Dodge,Fremont - 1A,NA,President,DEM,Hillary Clinton,167
Dodge,Fremont - 1B,NA,President,DEM,Hillary Clinton,156
Dodge,Fremont - 1C,NA,President,DEM,Hillary Clinton,181
Dodge,Fremont - 1D,NA,President,DEM,Hillary Clinton,75
Dodge,Fremont - 1E,NA,President,DEM,Hillary Clinton,182
Dodge,Fremont - 2A,NA,President,DEM,Hillary Clinton,121
Dodge,Fremont - 2B,NA,President,DEM,Hillary Clinton,98
Dodge,Fremont - 2C,NA,President,DEM,Hillary Clinton,180
Dodge,Fremont - 2D,NA,President,DEM,Hillary Clinton,63
Dodge,Fremont - 2E,NA,President,DEM,Hillary Clinton,115
Dodge,Fremont - 3A,NA,President,DEM,Hillary Clinton,87
Dodge,Fremont - 3B,NA,President,DEM,Hillary Clinton,59
Dodge,Fremont - 3C,NA,President,DEM,Hillary Clinton,99
Dodge,Fremont - 3D,NA,President,DEM,Hillary Clinton,154
Dodge,Fremont - 3E,NA,President,DEM,Hillary Clinton,113
Dodge,Fremont - 4A,NA,President,DEM,Hillary Clinton,127
Dodge,Fremont - 4B,NA,President,DEM,Hillary Clinton,93
Dodge,Fremont - 4C,NA,President,DEM,Hillary Clinton,201
Dodge,Fremont - 4D,NA,President,DEM,Hillary Clinton,192
Dodge,Fremont - 4E,NA,President,DEM,Hillary Clinton,75
Dodge,City of North Bend,NA,President,DEM,Hillary Clinton,108
Dodge,City of Scribner,NA,President,DEM,Hillary Clinton,58
Dodge,CU/EV,NA,President,DEM,Hillary Clinton,37
Dodge,Webster Township,NA,President,DEM,Hillary Clinton,64
Dodge,Pebble Township,NA,President,DEM,Hillary Clinton,23
Dodge,Platte East,NA,President,DEM,Hillary Clinton,59
Dodge,Platte West,NA,President,DEM,Hillary Clinton,100
Dodge,Nickerson Township,NA,President,DEM,Hillary Clinton,93
Dodge,City of Hooper,NA,President,DEM,Hillary Clinton,89
Dodge,HW/LG,NA,President,DEM,Hillary Clinton,55
Dodge,Elkhorn Township,NA,President,DEM,Hillary Clinton,36
Dodge,CT/UN,NA,President,DEM,Hillary Clinton,71
Dodge,New/Former Resident,NA,President,DEM,Hillary Clinton,0
Dodge,ABSENTEE,NA,President,DEM,Hillary Clinton,1213
Dodge,TOTALS,NA,President,DEM,Hillary Clinton,4544
Dodge,Fremont - 1A,NA,President,LIB,Gary Johnson,26
Dodge,Fremont - 1B,NA,President,LIB,Gary Johnson,32
Dodge,Fremont - 1C,NA,President,LIB,Gary Johnson,18
Dodge,Fremont - 1D,NA,President,LIB,Gary Johnson,8
Dodge,Fremont - 1E,NA,President,LIB,Gary Johnson,10
Dodge,Fremont - 2A,NA,President,LIB,Gary Johnson,14
Dodge,Fremont - 2B,NA,President,LIB,Gary Johnson,17
Dodge,Fremont - 2C,NA,President,LIB,Gary Johnson,38
Dodge,Fremont - 2D,NA,President,LIB,Gary Johnson,12
Dodge,Fremont - 2E,NA,President,LIB,Gary Johnson,18
Dodge,Fremont - 3A,NA,President,LIB,Gary Johnson,18
Dodge,Fremont - 3B,NA,President,LIB,Gary Johnson,7
Dodge,Fremont - 3C,NA,President,LIB,Gary Johnson,15
Dodge,Fremont - 3D,NA,President,LIB,Gary Johnson,15
Dodge,Fremont - 3E,NA,President,LIB,Gary Johnson,17
Dodge,Fremont - 4A,NA,President,LIB,Gary Johnson,30
Dodge,Fremont - 4B,NA,President,LIB,Gary Johnson,15
Dodge,Fremont - 4C,NA,President,LIB,Gary Johnson,30
Dodge,Fremont - 4D,NA,President,LIB,Gary Johnson,27
Dodge,Fremont - 4E,NA,President,LIB,Gary Johnson,14
Dodge,City of North Bend,NA,President,LIB,Gary Johnson,24
Dodge,City of Scribner,NA,President,LIB,Gary Johnson,16
Dodge,CU/EV,NA,President,LIB,Gary Johnson,10
Dodge,Webster Township,NA,President,LIB,Gary Johnson,6
Dodge,Pebble Township,NA,President,LIB,Gary Johnson,12
Dodge,Platte East,NA,President,LIB,Gary Johnson,6
Dodge,Platte West,NA,President,LIB,Gary Johnson,12
Dodge,Nickerson Township,NA,President,LIB,Gary Johnson,15
Dodge,City of Hooper,NA,President,LIB,Gary Johnson,15
Dodge,HW/LG,NA,President,LIB,Gary Johnson,19
Dodge,Elkhorn Township,NA,President,LIB,Gary Johnson,7
Dodge,CT/UN,NA,President,LIB,Gary Johnson,17
Dodge,New/Former Resident,NA,President,LIB,Gary Johnson,0
Dodge,ABSENTEE,NA,President,LIB,Gary Johnson,84
Dodge,TOTALS,NA,President,LIB,Gary Johnson,624
Dodge,Fremont - 1A,NA,President,,Jill Stein,7
Dodge,Fremont - 1B,NA,President,,Jill Stein,2
Dodge,Fremont - 1C,NA,President,,Jill Stein,3
Dodge,Fremont - 1D,NA,President,,Jill Stein,6
Dodge,Fremont - 1E,NA,President,,Jill Stein,5
Dodge,Fremont - 2A,NA,President,,Jill Stein,11
Dodge,Fremont - 2B,NA,President,,Jill Stein,2
Dodge,Fremont - 2C,NA,President,,Jill Stein,5
Dodge,Fremont - 2D,NA,President,,Jill Stein,3
Dodge,Fremont - 2E,NA,President,,Jill Stein,5
Dodge,Fremont - 3A,NA,President,,Jill Stein,2
Dodge,Fremont - 3B,NA,President,,Jill Stein,3
Dodge,Fremont - 3C,NA,President,,Jill Stein,7
Dodge,Fremont - 3D,NA,President,,Jill Stein,6
Dodge,Fremont - 3E,NA,President,,Jill Stein,8
Dodge,Fremont - 4A,NA,President,,Jill Stein,6
Dodge,Fremont - 4B,NA,President,,Jill Stein,7
Dodge,Fremont - 4C,NA,President,,Jill Stein,4
Dodge,Fremont - 4D,NA,President,,Jill Stein,3
Dodge,Fremont - 4E,NA,President,,Jill Stein,3
Dodge,City of North Bend,NA,President,,Jill Stein,4
Dodge,City of Scribner,NA,President,,Jill Stein,3
Dodge,CU/EV,NA,President,,Jill Stein,3
Dodge,Webster Township,NA,President,,Jill Stein,0
Dodge,Pebble Township,NA,President,,Jill Stein,2
Dodge,Platte East,NA,President,,Jill Stein,1
Dodge,Platte West,NA,President,,Jill Stein,4
Dodge,Nickerson Township,NA,President,,Jill Stein,5
Dodge,City of Hooper,NA,President,,Jill Stein,2
Dodge,HW/LG,NA,President,,Jill Stein,6
Dodge,Elkhorn Township,NA,President,,Jill Stein,0
Dodge,CT/UN,NA,President,,Jill Stein,2
Dodge,New/Former Resident,NA,President,,Jill Stein,0
Dodge,ABSENTEE,NA,President,,Jill Stein,32
Dodge,TOTALS,NA,President,,Jill Stein,162
Dodge,Fremont - 1A,NA,President,,Write-ins,11
Dodge,Fremont - 1B,NA,President,,Write-ins,9
Dodge,Fremont - 1C,NA,President,,Write-ins,20
Dodge,Fremont - 1D,NA,President,,Write-ins,5
Dodge,Fremont - 1E,NA,President,,Write-ins,14
Dodge,Fremont - 2A,NA,President,,Write-ins,5
Dodge,Fremont - 2B,NA,President,,Write-ins,9
Dodge,Fremont - 2C,NA,President,,Write-ins,7
Dodge,Fremont - 2D,NA,President,,Write-ins,6
Dodge,Fremont - 2E,NA,President,,Write-ins,7
Dodge,Fremont - 3A,NA,President,,Write-ins,12
Dodge,Fremont - 3B,NA,President,,Write-ins,1
Dodge,Fremont - 3C,NA,President,,Write-ins,3
Dodge,Fremont - 3D,NA,President,,Write-ins,6
Dodge,Fremont - 3E,NA,President,,Write-ins,8
Dodge,Fremont - 4A,NA,President,,Write-ins,5
Dodge,Fremont - 4B,NA,President,,Write-ins,8
Dodge,Fremont - 4C,NA,President,,Write-ins,13
Dodge,Fremont - 4D,NA,President,,Write-ins,12
Dodge,Fremont - 4E,NA,President,,Write-ins,6
Dodge,City of North Bend,NA,President,,Write-ins,10
Dodge,City of Scribner,NA,President,,Write-ins,6
Dodge,CU/EV,NA,President,,Write-ins,2
Dodge,Webster Township,NA,President,,Write-ins,2
Dodge,Pebble Township,NA,President,,Write-ins,3
Dodge,Platte East,NA,President,,Write-ins,4
Dodge,Platte West,NA,President,,Write-ins,12
Dodge,Nickerson Township,NA,President,,Write-ins,2
Dodge,City of Hooper,NA,President,,Write-ins,2
Dodge,HW/LG,NA,President,,Write-ins,3
Dodge,Elkhorn Township,NA,President,,Write-ins,0
Dodge,CT/UN,NA,President,,Write-ins,8
Dodge,New/Former Resident,NA,President,,Write-ins,0
Dodge,ABSENTEE,NA,President,,Write-ins,45
Dodge,TOTALS,NA,President,,Write-ins,266
Dodge,Fremont - 1A,1,U.S. House,REP,Jeff Fortenberry,425
Dodge,Fremont - 1B,1,U.S. House,REP,Jeff Fortenberry,357
Dodge,Fremont - 1C,1,U.S. House,REP,Jeff Fortenberry,546
Dodge,Fremont - 1D,1,U.S. House,REP,Jeff Fortenberry,218
Dodge,Fremont - 1E,1,U.S. House,REP,Jeff Fortenberry,412
Dodge,Fremont - 2A,1,U.S. House,REP,Jeff Fortenberry,276
Dodge,Fremont - 2B,1,U.S. House,REP,Jeff Fortenberry,255
Dodge,Fremont - 2C,1,U.S. House,REP,Jeff Fortenberry,539
Dodge,Fremont - 2D,1,U.S. House,REP,Jeff Fortenberry,182
Dodge,Fremont - 2E,1,U.S. House,REP,Jeff Fortenberry,350
Dodge,Fremont - 3A,1,U.S. House,REP,Jeff Fortenberry,192
Dodge,Fremont - 3B,1,U.S. House,REP,Jeff Fortenberry,88
Dodge,Fremont - 3C,1,U.S. House,REP,Jeff Fortenberry,191
Dodge,Fremont - 3D,1,U.S. House,REP,Jeff Fortenberry,324
Dodge,Fremont - 3E,1,U.S. House,REP,Jeff Fortenberry,270
Dodge,Fremont - 4A,1,U.S. House,REP,Jeff Fortenberry,356
Dodge,Fremont - 4B,1,U.S. House,REP,Jeff Fortenberry,221
Dodge,Fremont - 4C,1,U.S. House,REP,Jeff Fortenberry,495
Dodge,Fremont - 4D,1,U.S. House,REP,Jeff Fortenberry,561
Dodge,Fremont - 4E,1,U.S. House,REP,Jeff Fortenberry,184
