"","county","office","district","party","candidate","votes"
"1","Burt","President",1,"REP","Donald J. Trump",2367
"2","Burt","President",1,"DEM","Hillary Clinton",930
"3","Burt","President",1,"LIB","Gary Johnson",197
"4","Burt","President",1,"PET","Jill Stein",39
"5","Burt","President",1,"Write In","Write-ins",25
"6","Butler","President",1,"REP","Donald J. Trump",3079
"7","Butler","President",1,"DEM","Hillary Clinton",691
"8","Butler","President",1,"LIB","Gary Johnson",129
"9","Butler","President",1,"PET","Jill Stein",27
"10","Butler","President",1,"Write In","Write-ins",55
"11","Cass","President",1,"REP","Donald J. Trump",8452
"12","Cass","President",1,"DEM","Hillary Clinton",3484
"13","Cass","President",1,"LIB","Gary Johnson",639
"14","Cass","President",1,"PET","Jill Stein",132
"15","Cass","President",1,"Write In","Write-ins",226
"16","Colfax","President",1,"REP","Donald J. Trump",2171
"17","Colfax","President",1,"DEM","Hillary Clinton",859
"18","Colfax","President",1,"LIB","Gary Johnson",118
"19","Colfax","President",1,"PET","Jill Stein",26
"20","Colfax","President",1,"Write In","Write-ins",40
"21","Cuming","President",1,"REP","Donald J. Trump",3122
"22","Cuming","President",1,"DEM","Hillary Clinton",719
"23","Cuming","President",1,"LIB","Gary Johnson",157
"24","Cuming","President",1,"PET","Jill Stein",26
"25","Cuming","President",1,"Write In","Write-ins",50
"26","Dixon","President",1,"REP","Donald J. Trump",130
"27","Dixon","President",1,"DEM","Hillary Clinton",54
"28","Dixon","President",1,"LIB","Gary Johnson",15
"29","Dixon","President",1,"PET","Jill Stein",1
"30","Dixon","President",1,"Write In","Write-ins",0
"31","Dodge","President",1,"REP","Donald J. Trump",9933
"32","Dodge","President",1,"DEM","Hillary Clinton",4544
"33","Dodge","President",1,"LIB","Gary Johnson",624
"34","Dodge","President",1,"PET","Jill Stein",162
"35","Dodge","President",1,"Write In","Write-ins",266
"36","Lancaster","President",1,"REP","Donald J. Trump",61588
"37","Lancaster","President",1,"DEM","Hillary Clinton",61898
